,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switching-cost-rt-taskswitch,relative-switching-cost-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
0,15,PRE_TEST,420.222222222222,0.933333333333333,0.613333333333333,0.466666666666667,76.2222222222222,-10.5686274509804,0.457142857142857,0.8,0.75,0.875,0.8125,0.5625,0.4375,0.95,0.75,0.6,0.25,0,1,0.75,0.5,0.25,0
1,15,POST_TEST,430.555555555556,0.946666666666667,0.693333333333333,0.52,52.6078431372549,40.7555555555556,0.914285714285714,0.4,0.6875,0.875,0.875,0.875,0.5,0.75,0.7,0.5,0.2,0.05,0.75,0.666666666666667,0.416666666666667,0.083333333333333,0
2,51,PRE_TEST,572.117647058824,0.986666666666667,0.746666666666667,0.56,47.6400000000001,119.652173913043,0.7,0.75,0.875,1,0.9375,0.9375,0.3125,1,0.9,0.7,0.4,0.3,1,0.916666666666667,0.75,0.5,0.166666666666667
3,51,POST_TEST,451.555555555556,0.986666666666667,0.866666666666667,0.6,-8.58823529411768,52.3111111111111,0.95,0.75,0.8125,1,0.9375,0.9375,0.5,1,0.9,0.55,0.45,0.1,1,1,0.666666666666667,0.5,0.083333333333333
4,48,PRE_TEST,524.0625,0.786666666666667,0.586666666666667,0.453333333333333,343.909090909091,-1.82692307692304,0.35,0.6,0.9375,0.8125,0.875,0.9375,0.4375,0.25,0.3,0.5,0.35,0.4,0.25,0.083333333333333,0,0,0
5,48,POST_TEST,586.055555555556,0.746666666666667,0.573333333333333,0.466666666666667,141.82,138.934782608696,0.25,0.55,0.75,0.875,0.8125,0.875,0.75,0.35,0.35,0.35,0.5,0.35,0.583333333333333,0.166666666666667,0,0.083333333333333,0
6,68,PRE_TEST,466.777777777778,0.933333333333333,0.6,0.586666666666667,96.5111111111111,16.7843137254902,0.971428571428571,1,1,0.9375,1,1,0.8125,0.85,0.85,0.5,0.45,0.2,0.916666666666667,0.583333333333333,0.666666666666667,0.083333333333333,0.083333333333333
7,68,POST_TEST,477.058823529412,0.986666666666667,0.693333333333333,0.56,57.9130434782609,34.14,0.914285714285714,1,1,1,1,1,0.875,0.9,0.8,0.7,0.45,0.3,1,0.833333333333333,0.666666666666667,0.5,0
8,70,PRE_TEST,494.333333333333,0.946666666666667,0.626666666666667,0.56,46.3673469387755,143.217391304348,0.714285714285714,0.8,0.75,0.9375,1,0.9375,0.375,0.65,0.75,0.8,0.35,0.25,1,0.833333333333333,0.416666666666667,0.25,0.166666666666667
9,70,POST_TEST,503.388888888889,0.92,0.746666666666667,0.666666666666667,386.951219512195,58.2909090909091,0.8,0.8,0.875,0.875,0.875,0.9375,0.5625,0.8,0.8,0.55,0.25,0,0.75,0.916666666666667,0.083333333333333,0.333333333333333,0.083333333333333
10,72,PRE_TEST,521.277777777778,0.92,0.666666666666667,0.506666666666667,4.32692307692309,196.590909090909,0.485714285714286,0.4,0.6875,0.8125,0.8125,0.9375,0.625,0.9,0.95,0.6,0.2,0.1,0.916666666666667,0.916666666666667,0.666666666666667,0.416666666666667,0.166666666666667
11,72,POST_TEST,567.555555555556,0.92,0.706666666666667,0.506666666666667,85.5777777777778,42.2549019607843,0.485714285714286,0.6,0.75,0.75,0.875,0.875,0.5,0.85,0.95,0.65,0.3,0.2,1,1,0.916666666666667,0.333333333333333,0.333333333333333
12,82,PRE_TEST,655.3125,0.813333333333333,0.6,0.466666666666667,-7.73076923076928,365.813953488372,0.171428571428571,0.2,0,0.1875,0.125,0.375,0.125,0.35,0.35,0.15,0.55,0.5,0.833333333333333,0.416666666666667,0.25,0.083333333333333,0
13,82,POST_TEST,587.055555555556,0.84,0.613333333333333,0.546666666666667,201.604166666667,129.875,0.257142857142857,0.2,0,0,0.0625,0,0.0625,0.55,0.65,0.45,0.25,0.35,0.75,0.583333333333333,0.25,0.083333333333333,0
14,85,PRE_TEST,477.5,0.986666666666667,0.773333333333333,0.573333333333333,20.6078431372549,55.8222222222223,0.685714285714286,1,0.6875,0.625,0.8125,0.8125,0.5,1,0.8,0.85,0.7,0.5,1,0.916666666666667,0.666666666666667,0.5,0.25
15,85,POST_TEST,454.333333333333,0.986666666666667,0.8,0.613333333333333,19.4905660377359,127.093023255814,0.942857142857143,1,0.625,0.6875,0.8125,0.75,0.3125,0.95,0.9,0.8,0.8,0.55,1,1,0.833333333333333,0.583333333333333,0.333333333333333
16,84,PRE_TEST,540.888888888889,0.84,0.613333333333333,0.586666666666666,-86.9642857142857,322.475,0.7,0.8,0.875,1,1,0.875,0.4375,0.8,0.65,0.25,0.05,0,0.916666666666667,0.916666666666667,0.5,0.333333333333333,0
17,84,POST_TEST,601.166666666667,0.52,0.533333333333333,0.533333333333333,-95.5084745762713,296.621621621622,0.9,0.65,0.9375,0.9375,1,0.9375,0.4375,0.5,0.5,0.35,0.35,0.1,0.916666666666667,0.75,0.333333333333333,0.083333333333333,0
18,87,PRE_TEST,455.941176470588,1,0.773333333333334,0.533333333333333,16.0384615384615,214.681818181818,0.742857142857143,1,0.6875,0.8125,1,0.875,0.6875,0.95,0.9,0.95,0.55,0.45,1,1,0.666666666666667,0.666666666666667,0.333333333333333
19,87,POST_TEST,483.277777777778,0.986666666666667,0.746666666666667,0.613333333333333,65.3846153846154,228.477272727273,0.828571428571429,0.6,0.875,0.8125,0.8125,0.9375,0.5,0.95,0.95,0.8,0.6,0.35,1,1,1,0.583333333333333,0.416666666666667
